title	tconst	startYear
24	tt0285331	2001.0
30 Rock	tt0496424	2006.0
60 Minutes	tt0123338	1968.0
Alfred Hitchcock Presents	tt0047708	1955.0
Alias	tt0285333	2001.0
All in the Family	tt0066626	1971.0
American Idol	tt0319931	2002.0
The Americans	tt2149175	2013.0
The Andy Griffith Show	tt0053479	1960.0
Arrested Development	tt0367279	2003.0
Atlanta	tt4288182	2016.0
Band of Brothers	tt0185906	2001.0
Barry	tt5348176	2018.0
Battlestar Galactica	tt0407362	2004.0
Beavis and Butt-Head	tt0105950	1993.0
Better Call Saul	tt3032476	2015.0
Boardwalk Empire	tt0979432	2010.0
The Bob Newhart Show	tt0068049	1972.0
BoJack Horseman	tt3398228	2014.0
Breaking Bad	tt0903747	2008.0
Buffy the Vampire Slayer	tt0118276	1997.0
The Carol Burnett Show	tt0061240	1967.0
Chappelle's Show	tt0353049	2003.0
Cheers	tt0083399	1982.0
Chernobyl	tt7366338	2019.0
The Colbert Report	tt0458254	2005.0
Columbo	tt1466074	1971.0
Community	tt1439629	2009.0
The Cosby Show	tt0086687	1984.0
Curb Your Enthusiasm	tt0264235	2000.0
The Daily Show	tt0115147	1996.0
Dallas	tt0077000	1978.0
Deadwood	tt0348914	2004.0
Dexter	tt0773262	2006.0
The Dick Van Dyke Show	tt0054533	1961.0
Doctor Who	tt0056751	1963.0
Downton Abbey	tt1606375	2010.0
The Ed Sullivan Show	tt0040053	1948.0
ER	tt0108757	1994.0
Everybody Loves Raymond	tt0115167	1996.0
Fargo	tt2802850	2014.0
Fawlty Towers	tt0072500	1975.0
Firefly	tt0303461	2002.0
Fleabag	tt5687612	2016.0
Frasier	tt0106004	1993.0
Freaks and Geeks	tt0193676	1999.0
Friday Night Lights	tt0758745	2006.0
Friends	tt0108778	1994.0
The Fugitive	tt0056757	1963.0
Game of Thrones	tt0944947	2011.0
Gilmore Girls	tt0238784	2000.0
Girls	tt1723816	2012.0
The Golden Girls	tt0088526	1985.0
The Good Place	tt4955642	2016.0
Good Times	tt0070991	1974.0
The Good Wife	tt1442462	2009.0
Grey's Anatomy	tt0413573	2005.0
Gunsmoke	tt0047736	1955.0
Hannibal	tt2243973	2013.0
Happy Days	tt0070992	1974.0
Hill Street Blues	tt0081873	1981.0
Homeland	tt1796960	2011.0
Homicide: Life on the Street	tt0106028	1993.0
The Honeymooners	tt0042114	1955.0
I Love Lucy	tt0043208	1951.0
I May Destroy You	tt11204260	2020.0
I, Claudius	tt0074006	1976.0
In Living Color	tt0098830	1990.0
It's Always Sunny in Philadelphia	tt0472954	2005.0
The Jeffersons	tt0072519	1975.0
Jeopardy!	tt0159881	1984.0
Justified	tt1489428	2010.0
The Larry Sanders Show	tt0103466	1992.0
Late Night with David Letterman	tt0083441	1982.0
Law & Order	tt0098844	1990.0
The Leftovers	tt2699128	2014.0
Lost	tt0411008	2004.0
Louie	tt1492966	2010.0
M*A*S*H	tt0068098	1972.0
Mad Men	tt0804503	2007.0
Mary Tyler Moore	tt0065314	1970.0
Modern Family	tt1442437	2009.0
Monty Python's Flying Circus	tt0063929	1969.0
Mr. Show with Bob and David	tt0112084	1995.0
The Muppet Show	tt0074028	1976.0
My So-Called Life	tt0108872	1994.0
Mystery Science Theater 3000	tt0094517	1988.0
NYPD Blue	tt0106079	1993.0
The Odd Couple	tt0065329	1970.0
The Office	tt0290978	2001.0
The Office	tt0386676	2005.0
The Oprah Winfrey Show	tt0090493	1986.0
Oz	tt0118421	1997.0
Parks and Recreation	tt1266020	2009.0
Playhouse 90	tt0048893	1956.0
Prime Suspect	tt0098898	1991.0
The Prisoner	tt0061287	1967.0
The Real World	tt0867014	1982.0
Rick and Morty	tt2861424	2013.0
The Rockford Files	tt0071042	1974.0
Roots	tt0075572	1977.0
Roseanne	tt0094540	1988.0
Sanford and Son	tt0068128	1972.0
Saturday Night Live	tt0072562	2003.0
Seinfeld	tt0098904	1989.0
Sesame Street	tt0063951	1969.0
Sex and the City	tt0159206	1998.0
The Shield	tt0286486	2002.0
The Simpsons	tt0096697	1989.0
Six Feet Under	tt0248654	2001.0
Soap	tt0075584	1977.0
The Sopranos	tt0141842	1999.0
South Park	tt0121955	1997.0
St. Elsewhere	tt0083483	1982.0
Star Trek: The Next Generation	tt0092455	1987.0
Star Trek	tt0060028	1966.0
Stranger Things	tt4574334	2016.0
Succession	tt7660850	2018.0
Survivor	tt0239195	2000.0
Taxi	tt0077089	1978.0
Thirtysomething	tt0092492	1987.0
The Tonight Show Starring Johnny Carson	tt0055708	1962.0
The Twilight Zone	tt0052520	1959.0
Twin Peaks	tt0098936	1990.0
Veep	tt1759761	2012.0
Watchmen	tt1322240	2008.0
The West Wing	tt0200276	1999.0
Will & Grace	tt0157246	1998.0
The Wire	tt0306414	2002.0
The Wonder Years	tt0094582	1988.0
The X-Files	tt0106179	1993.0
